author_year,study,cluster,group,case,phase,session,outcome,B1,T1,B2,T2,T3,T4,P,M1,G1
Freeman-Green et al. (2015),3,1,1,1,Intervention 1,10,92,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Intervention 1,11,92,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,1,Maintenance,16,80,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,1,1,Generalization,22,82,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,1,1,Maintenance,23,70,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,1,2,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Baseline 1,3,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Generalization,6,4,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,1,2,Baseline 1,10,6,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Intervention 1,11,98,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Intervention 1,12,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Intervention 1,13,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Intervention 1,14,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Intervention 1,15,98,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,2,Generalization,22,98,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,1,2,Maintenance,24,100,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,1,2,Maintenance,26,98,0,0,0,0,0,0,0,1,0
Freeman-Green et al. (2015),3,1,1,3,Baseline 1,1,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Baseline 1,2,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Baseline 1,3,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Baseline 1,4,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Baseline 1,5,0,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Generalization,6,2,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,1,3,Baseline 1,10,12,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Baseline 1,15,14,1,0,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Intervention 1,16,98,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Intervention 1,17,100,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Intervention 1,18,96,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Intervention 1,19,94,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Intervention 1,20,98,0,1,0,0,0,0,0,0,0
Freeman-Green et al. (2015),3,1,1,3,Generalization,22,100,0,0,0,0,0,0,0,0,1
Freeman-Green et al. (2015),3,1,1,3,Maintenance,25,98,0,0,0,0,0,0,0,1,0
